year,comunidad_autonoma,sexo,medida,value
2011,Asturias,Hombres,cuartil_75,31127.8
2011,Asturias,Hombres,media,25346.39
2011,Asturias,Hombres,mediana,22029.51
2011,Asturias,Mujeres,cuartil_25,11635.41
2011,Asturias,Mujeres,cuartil_75,23333.16
2011,Asturias,Mujeres,media,18721.59
2011,Asturias,Mujeres,mediana,15478.73
2011,Canarias,Hombres,cuartil_25,13123.3
2011,Canarias,Hombres,cuartil_75,24850.91
2011,Canarias,Hombres,media,21090.86
2011,Canarias,Hombres,mediana,17775.63
2011,Canarias,Mujeres,cuartil_25,10433.7
2011,Canarias,Mujeres,cuartil_75,22485.06
2011,Canarias,Mujeres,media,17824.94
2011,Canarias,Mujeres,mediana,14889.88
2011,Cantabria,Hombres,cuartil_25,15623.16
2011,Cantabria,Hombres,cuartil_75,28691.5
2011,Cantabria,Hombres,media,23793.64
2011,Cantabria,Hombres,mediana,20318.96
2011,Cantabria,Mujeres,cuartil_25,10672.94
2011,Cantabria,Mujeres,cuartil_75,22160.81
2011,Cantabria,Mujeres,media,17606.84
2011,Cantabria,Mujeres,mediana,14912.6
2011,Castilla y León,Hombres,cuartil_25,15343.78
2011,Castilla y León,Hombres,cuartil_75,28520.08
2011,Castilla y León,Hombres,media,23482.58
2011,Castilla y León,Hombres,mediana,19891.88
2011,Castilla y León,Mujeres,cuartil_25,10688.79
2011,Castilla y León,Mujeres,cuartil_75,23222.14
2011,Castilla y León,Mujeres,media,18193.91
2011,Castilla y León,Mujeres,mediana,15805.06
2011,Castilla-La Mancha,Hombres,cuartil_25,15319.59
2011,Castilla-La Mancha,Hombres,cuartil_75,26562.59
2011,Castilla-La Mancha,Hombres,media,22771.53
2011,Castilla-La Mancha,Hombres,mediana,19145.12
2011,Castilla-La Mancha,Mujeres,cuartil_25,10865.51
2011,Castilla-La Mancha,Mujeres,cuartil_75,22729.09
2011,Castilla-La Mancha,Mujeres,media,18001.99
2011,Castilla-La Mancha,Mujeres,mediana,16092.7
2011,Cataluña,Hombres,cuartil_25,17521.2
2011,Cataluña,Hombres,cuartil_75,34839.68
2011,Cataluña,Hombres,media,28025.61
2011,Cataluña,Hombres,mediana,24093.65
2011,Cataluña,Mujeres,cuartil_25,12307.46
2011,Cataluña,Mujeres,cuartil_75,26333.29
2011,Cataluña,Mujeres,media,20799.94
2011,Cataluña,Mujeres,mediana,18209.1
2011,Comunidad de Madrid,Hombres,cuartil_25,16284.24
2011,Comunidad de Madrid,Hombres,cuartil_75,37146.25
2011,Comunidad de Madrid,Hombres,media,28896.67
2011,Comunidad de Madrid,Hombres,mediana,23755.2
2011,Comunidad de Madrid,Mujeres,cuartil_25,12542.34
2011,Comunidad de Madrid,Mujeres,cuartil_75,28736.66
2011,Comunidad de Madrid,Mujeres,media,22585.38
2011,Comunidad de Madrid,Mujeres,mediana,18448.38
2011,Comunitat Valenciana,Hombres,cuartil_25,15532.59
2011,Comunitat Valenciana,Hombres,cuartil_75,29000.58
2011,Comunitat Valenciana,Hombres,media,24171.87
2011,Comunitat Valenciana,Hombres,mediana,20044.29
2011,Comunitat Valenciana,Mujeres,cuartil_25,10367.36
2011,Comunitat Valenciana,Mujeres,cuartil_75,22872.88
2011,Comunitat Valenciana,Mujeres,media,18052.49
2011,Comunitat Valenciana,Mujeres,mediana,15853.69
2011,Extremadura,Hombres,cuartil_25,14052.18
2011,Extremadura,Hombres,cuartil_75,25162.3
2011,Extremadura,Hombres,media,21318.32
2011,Extremadura,Hombres,mediana,17606.86
2011,Extremadura,Mujeres,cuartil_25,10267.74
2011,Extremadura,Mujeres,cuartil_75,22921.81
2011,Extremadura,Mujeres,media,18060.8
2011,Extremadura,Mujeres,mediana,15212.82
2011,Galicia,Hombres,cuartil_25,14979.71
2011,Galicia,Hombres,cuartil_75,25901.53
2011,Galicia,Hombres,media,22381.85
2011,Galicia,Hombres,mediana,18251.71
2011,Galicia,Mujeres,cuartil_25,10372.49
2011,Galicia,Mujeres,cuartil_75,21313.71
2011,Galicia,Mujeres,media,17291.96
2011,Galicia,Mujeres,mediana,14826.52
2011,Illes Balears,Hombres,cuartil_25,15082.52
2011,Illes Balears,Hombres,cuartil_75,27597.85
2011,Illes Balears,Hombres,media,23188.8
2011,Illes Balears,Hombres,mediana,19921.2
2011,Illes Balears,Mujeres,cuartil_25,13029.71
2011,Illes Balears,Mujeres,cuartil_75,23176.41
2011,Illes Balears,Mujeres,media,19377.39
2011,Illes Balears,Mujeres,mediana,17358.36
2011,La Rioja,Hombres,cuartil_25,16217.0
2011,La Rioja,Hombres,cuartil_75,27453.24
2011,La Rioja,Hombres,media,23512.09
2011,La Rioja,Hombres,mediana,20595.07
2011,La Rioja,Mujeres,cuartil_25,10973.09
2011,La Rioja,Mujeres,cuartil_75,23266.58
2011,La Rioja,Mujeres,media,18328.41
2011,La Rioja,Mujeres,mediana,15288.72
2011,Navarra,Hombres,cuartil_25,19732.6
2011,Navarra,Hombres,cuartil_75,34223.45
2011,Navarra,Hombres,media,27834.48
2011,Navarra,Hombres,mediana,25869.34
2011,Navarra,Mujeres,cuartil_25,12125.75
2011,Navarra,Mujeres,cuartil_75,25110.96
2011,Navarra,Mujeres,media,19977.24
2011,Navarra,Mujeres,mediana,18480.46
2011,País Vasco,Hombres,cuartil_25,19679.7
2011,País Vasco,Hombres,cuartil_75,37241.01
2011,País Vasco,Hombres,media,29492.66
2011,País Vasco,Hombres,mediana,27488.7
2011,País Vasco,Mujeres,cuartil_25,13165.26
2011,País Vasco,Mujeres,cuartil_75,30201.9
2011,País Vasco,Mujeres,media,22449.59
2011,País Vasco,Mujeres,mediana,19707.94
2011,Región de Murcia,Hombres,cuartil_25,14720.77
2011,Región de Murcia,Hombres,cuartil_75,28056.39
2011,Región de Murcia,Hombres,media,23460.47
2011,Región de Murcia,Hombres,mediana,19155.1
2011,Región de Murcia,Mujeres,cuartil_25,10189.79
2011,Región de Murcia,Mujeres,cuartil_75,22910.49
2011,Región de Murcia,Mujeres,media,18053.61
2011,Región de Murcia,Mujeres,mediana,15296.02
2012,Andalucía,Hombres,cuartil_25,14833.65
2012,Andalucía,Hombres,cuartil_75,28777.49
2012,Andalucía,Hombres,media,23592.08
2012,Andalucía,Hombres,mediana,19733.29
