year,comunidad_autonoma,tipo_divorcio,numero_divorcios
2020,Illes Balears,Divorcio contencioso,336.0
2020,Illes Balears,Total,2149.0
2020,La Rioja,Divorcio No Contencioso,464.0
2020,La Rioja,Divorcio contencioso,96.0
2020,La Rioja,Total,559.0
2020,Melilla,Divorcio No Contencioso,59.0
2020,Melilla,Divorcio contencioso,68.0
2020,Melilla,Total,126.0
2020,Navarra,Divorcio No Contencioso,799.0
2020,Navarra,Divorcio contencioso,250.0
2020,Navarra,Total,1049.0
2020,País Vasco,Divorcio No Contencioso,2900.0
2020,País Vasco,Divorcio contencioso,447.0
2020,País Vasco,Total,3348.0
2020,Región de Murcia,Divorcio No Contencioso,1892.0
2020,Región de Murcia,Divorcio contencioso,636.0
2020,Región de Murcia,Total,2528.0
2021,Andalucía,Divorcio No Contencioso,12155.0
2021,Andalucía,Divorcio contencioso,4112.0
2021,Andalucía,Total,16267.0
2021,Aragón,Divorcio No Contencioso,1667.0
2021,Aragón,Divorcio contencioso,357.0
2021,Aragón,Total,2024.0
2021,Asturias,Divorcio No Contencioso,1465.0
2021,Asturias,Divorcio contencioso,404.0
2021,Asturias,Total,1869.0
2021,Canarias,Divorcio No Contencioso,3328.0
2021,Canarias,Divorcio contencioso,1074.0
2021,Canarias,Total,4402.0
2021,Cantabria,Divorcio No Contencioso,903.0
2021,Cantabria,Divorcio contencioso,173.0
2021,Cantabria,Total,1076.0
2021,Castilla y León,Divorcio No Contencioso,2601.0
2021,Castilla y León,Divorcio contencioso,750.0
2021,Castilla y León,Total,3351.0
2021,Castilla-La Mancha,Divorcio No Contencioso,2596.0
2021,Castilla-La Mancha,Divorcio contencioso,897.0
2021,Castilla-La Mancha,Total,3492.0
2021,Cataluña,Divorcio No Contencioso,12686.0
2021,Cataluña,Divorcio contencioso,2464.0
2021,Cataluña,Total,15150.0
2021,Ceuta,Divorcio No Contencioso,101.0
2021,Ceuta,Divorcio contencioso,81.0
2021,Ceuta,Total,182.0
2021,Comunidad de Madrid,Divorcio No Contencioso,9858.0
2021,Comunidad de Madrid,Divorcio contencioso,2499.0
2021,Comunidad de Madrid,Total,12356.0
2021,Comunitat Valenciana,Divorcio No Contencioso,7975.0
2021,Comunitat Valenciana,Divorcio contencioso,1998.0
2021,Comunitat Valenciana,Total,9972.0
2021,Extremadura,Divorcio No Contencioso,1220.0
2021,Extremadura,Divorcio contencioso,363.0
2021,Extremadura,Total,1583.0
2021,Galicia,Divorcio No Contencioso,3606.0
2021,Galicia,Divorcio contencioso,1008.0
2021,Galicia,Total,4614.0
2021,Illes Balears,Divorcio No Contencioso,1927.0
2021,Illes Balears,Divorcio contencioso,382.0
2021,Illes Balears,Total,2309.0
2021,La Rioja,Divorcio No Contencioso,425.0
2021,La Rioja,Divorcio contencioso,107.0
2021,La Rioja,Total,532.0
2021,Melilla,Divorcio No Contencioso,73.0
2021,Melilla,Divorcio contencioso,66.0
2021,Melilla,Total,139.0
2021,Navarra,Divorcio No Contencioso,853.0
2021,Navarra,Divorcio contencioso,298.0
2021,Navarra,Total,1151.0
2021,País Vasco,Divorcio No Contencioso,2812.0
2021,País Vasco,Divorcio contencioso,586.0
2021,País Vasco,Total,3398.0
2021,Región de Murcia,Divorcio No Contencioso,2201.0
2021,Región de Murcia,Divorcio contencioso,782.0
2021,Región de Murcia,Total,2982.0
2022,Andalucía,Divorcio No Contencioso,11424.0
2022,Andalucía,Divorcio contencioso,3390.0
2022,Andalucía,Total,14814.0
2022,Aragón,Divorcio No Contencioso,1787.0
2022,Aragón,Divorcio contencioso,386.0
2022,Aragón,Total,2173.0
2022,Asturias,Divorcio No Contencioso,1419.0
2022,Asturias,Divorcio contencioso,337.0
2022,Asturias,Total,1756.0
2022,Canarias,Divorcio No Contencioso,3316.0
2022,Canarias,Divorcio contencioso,1007.0
2022,Canarias,Total,4323.0
2022,Cantabria,Divorcio No Contencioso,789.0
2022,Cantabria,Divorcio contencioso,208.0
2022,Cantabria,Total,997.0
2022,Castilla y León,Divorcio No Contencioso,2412.0
2022,Castilla y León,Divorcio contencioso,741.0
2022,Castilla y León,Total,3153.0
2022,Castilla-La Mancha,Divorcio No Contencioso,2158.0
2022,Castilla-La Mancha,Divorcio contencioso,957.0
2022,Castilla-La Mancha,Total,3115.0
2022,Cataluña,Divorcio No Contencioso,11916.0
2022,Cataluña,Divorcio contencioso,2236.0
2022,Cataluña,Total,14152.0
2022,Ceuta,Divorcio No Contencioso,127.0
2022,Ceuta,Divorcio contencioso,77.0
2022,Ceuta,Total,204.0
2022,Comunidad de Madrid,Divorcio No Contencioso,9396.0
2022,Comunidad de Madrid,Divorcio contencioso,2150.0
2022,Comunidad de Madrid,Total,11546.0
2022,Comunitat Valenciana,Divorcio No Contencioso,7982.0
2022,Comunitat Valenciana,Divorcio contencioso,1720.0
2022,Comunitat Valenciana,Total,9702.0
2022,Extremadura,Divorcio No Contencioso,1186.0
2022,Extremadura,Divorcio contencioso,271.0
2022,Extremadura,Total,1456.0
2022,Galicia,Divorcio No Contencioso,3416.0
2022,Galicia,Divorcio contencioso,871.0
2022,Galicia,Total,4286.0
2022,Illes Balears,Divorcio No Contencioso,1881.0
2022,Illes Balears,Divorcio contencioso,354.0
2022,Illes Balears,Total,2235.0
2022,La Rioja,Divorcio No Contencioso,382.0
2022,La Rioja,Divorcio contencioso,99.0
2022,La Rioja,Total,481.0
2022,Melilla,Divorcio No Contencioso,76.0
2022,Melilla,Divorcio contencioso,61.0
2022,Melilla,Total,137.0
2022,Navarra,Divorcio No Contencioso,733.0
2022,Navarra,Divorcio contencioso,284.0
2022,Navarra,Total,1017.0
2022,País Vasco,Divorcio No Contencioso,2611.0
2022,País Vasco,Divorcio contencioso,459.0
2022,País Vasco,Total,3070.0
2022,Región de Murcia,Divorcio No Contencioso,2022.0
2022,Región de Murcia,Divorcio contencioso,661.0
2022,Región de Murcia,Total,2683.0
2023,Andalucía,Divorcio No Contencioso,10365.0
2023,Andalucía,Divorcio contencioso,2754.0
2023,Andalucía,Total,13119.0
2023,Aragón,Divorcio No Contencioso,1747.0
2023,Aragón,Divorcio contencioso,326.0
2023,Aragón,Total,2073.0
2023,Asturias,Divorcio No Contencioso,1293.0
2023,Asturias,Divorcio contencioso,240.0
2023,Asturias,Total,1532.0
2023,Canarias,Divorcio No Contencioso,3286.0
2023,Canarias,Divorcio contencioso,829.0
2023,Canarias,Total,4115.0
2023,Cantabria,Divorcio No Contencioso,759.0
2023,Cantabria,Divorcio contencioso,159.0
2023,Cantabria,Total,918.0
2023,Castilla y León,Divorcio No Contencioso,2340.0
2023,Castilla y León,Divorcio contencioso,612.0
2023,Castilla y León,Total,2952.0
2023,Castilla-La Mancha,Divorcio No Contencioso,2366.0
2023,Castilla-La Mancha,Divorcio contencioso,659.0
2023,Castilla-La Mancha,Total,3025.0
2023,Cataluña,Divorcio No Contencioso,11292.0
2023,Cataluña,Divorcio contencioso,2298.0
2023,Cataluña,Total,13590.0
2023,Ceuta,Divorcio No Contencioso,128.0
2023,Ceuta,Divorcio contencioso,63.0
2023,Ceuta,Total,190.0
2023,Comunidad de Madrid,Divorcio No Contencioso,8756.0
2023,Comunidad de Madrid,Divorcio contencioso,1927.0
2023,Comunidad de Madrid,Total,10683.0
2023,Comunitat Valenciana,Divorcio No Contencioso,8118.0
2023,Comunitat Valenciana,Divorcio contencioso,1657.0
2023,Comunitat Valenciana,Total,9775.0
2023,Extremadura,Divorcio No Contencioso,1042.0
2023,Extremadura,Divorcio contencioso,246.0
2023,Extremadura,Total,1287.0
2023,Galicia,Divorcio No Contencioso,3546.0
2023,Galicia,Divorcio contencioso,803.0
2023,Galicia,Total,4349.0
2023,Illes Balears,Divorcio No Contencioso,1836.0
2023,Illes Balears,Divorcio contencioso,290.0
2023,Illes Balears,Total,2126.0
2023,La Rioja,Divorcio No Contencioso,347.0
